Change Component Footprint: Designator=C5 Old Footprint=E New Footprint=FP-RAD-TH-D_10_0_5-L_12_5-MFG
Change Component Footprint: Designator=D4 Old Footprint=FP-017AG-MFG New Footprint=FAIR-DO-41-2_V
Change Component Footprint: Designator=R5 Old Footprint=FP-CF14-MFG New Footprint=RESA60-630X240
Change Component Footprint: Designator=R6 Old Footprint=FP-ZOR-25-R-52-0R-MFG New Footprint=RESA60-630X240
Change Component Footprint: Designator=D3 Old Footprint=ONSC-AXIAL_LEAD-2-59-10_P New Footprint=FAIR-DO-41-2_V
Change Component Comment : Designator=D4 Old Comment=1N5245BTR New Comment=1N4749A
Change Component Comment : Designator=D3 Old Comment=1N5929BG New Comment=1N4749A
Change Component Comment : Designator=C5 Old Comment=94SA107X0010EBP New Comment=EEUTA1H101
Change Component Comment : Designator=R5 Old Comment=PCF14JT7K50 New Comment=MFR-25FBF52-1K
Change Component Comment : Designator=R6 Old Comment=ZOR-25-R-52-0R New Comment=MFR-25FBF5210K
Change Managed Component Library Link : Designator=D3 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=83538347-C3D3-44AC-A925-304823AE5BE9 New ItemGUID=BE30C22F-3E72-47F6-BE9A-85032C73CEBD Old RevisionGUID=22B55249-F08F-4766-A52D-6BCC630EFBCF New RevisionGUID=95DC5183-4D58-42D8-90BA-66F287230FB6
Change Managed Component Library Link : Designator=D4 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=4127B20C-FE0E-4D60-99C7-24CD64B0EB61 New ItemGUID=BE30C22F-3E72-47F6-BE9A-85032C73CEBD Old RevisionGUID=622E7518-F94B-4AA4-85E8-883AA63F10C8 New RevisionGUID=95DC5183-4D58-42D8-90BA-66F287230FB6
Change Managed Component Library Link : Designator=R5 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=727A61F5-F6E4-4AC7-8060-BFC4DDA7DD58 New ItemGUID=58F7FC56-A0DD-42E6-B79F-7FF8885C42C0 Old RevisionGUID=70CEC3FE-DC44-41F3-9455-1A076776C80C New RevisionGUID=7CA994FA-D9F6-4861-AEDE-6ADB952AD05C
Change Managed Component Library Link : Designator=R6 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=AEF231A9-51CD-4093-8BB1-9C5B66FE7B0A New ItemGUID=A7752A51-3F5E-4298-A54C-C4AC008B0F72 Old RevisionGUID=4DA69001-FBE2-4CD2-9F89-FEBA62ECAA76 New RevisionGUID=5C6DE716-6D5C-4769-90B2-5513E30959CA
Change Managed Component Library Link : Designator=C5 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=E821CC95-6AC0-4565-87F1-76F5ABEFC568 Old RevisionGUID= New RevisionGUID=292977FD-6040-4790-BF96-6016AAABBF4D
Change component parameters: Designator = "C5" ("C5"); Footprint = "E"; UniqueID = "\UJBZLGJJ" ("\UJBZLGJJ")
Add component (AddParameter): Name = "RoHSCompliant"; Value = "true"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Weight"; Value = "0.001122 oz"; VariantName = "[No Variations]"
Added Component: Designator=R4(RESA60-630X240)
Add component (AddParameter): Name = "Bandwidth"; Value = "1 MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case\Package"; Value = "SOIC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Channels"; Value = "4"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Common Mode Rejection Ratio"; Value = "50 dB"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.yageo.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.yageo.com/documents/recent/Yageo%20LR_MFR_2013.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DatasheetVersion"; Value = "Apr-13"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "1.58 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "8.65 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85 degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Supply Voltage"; Value = "5 V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-40 degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Supply Voltage"; Value = "3 V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Nominal Gain Bandwith Product"; Value = "1 MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Nominal Supply Current"; Value = "170 uA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Nominal Voltage Gain"; Value = "100 dB"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Output Current"; Value = "160 mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "2500"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "2-Pin Axial Lead, Dia 2.4 mm, Body Length 6.3 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "MFR-25"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pins"; Value = "14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHSCompliant"; Value = "true"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Slew Rate"; Value = "1 V\us"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Unity Gain Bandwidth Product"; Value = "1 MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "3.91 mm"; VariantName = "[No Variations]"
Added Component: Designator=Signal1(WL-TMRC_D3.95H5.3)
Add component (AddParameter): Name = "Case/Package"; Value = "Radial"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Color"; Value = "Red"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dominant Wavelength"; Value = "635nm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Forward Current"; Value = "100mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Forward Voltage"; Value = "2V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "5.3mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "3mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lens Size"; Value = "3mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lens Style"; Value = "Circular, Diffused, Round"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Luminous Intensity"; Value = "160mcd"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Reverse Voltage (DC)"; Value = "5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Through Hole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "NexarPartId"; Value = "29717802"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Bulk"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Peak Wavelength"; Value = "640nm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Test Current"; Value = "20mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Viewing Angle"; Value = "40°"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Wavelength"; Value = "635nm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "3mm"; VariantName = "[No Variations]"
Added Pin To Net: NetName=NetD1_1 Pin=D1-1
Added Pin To Net: NetName=NetD1_2 Pin=D1-2
Added Pin To Net: NetName=NetD1_1 Pin=D2-1
Added Pin To Net: NetName=NetD2_2 Pin=D2-2
Added Pin To Net: NetName=NetD2_2 Pin=D4-2
Add Pin To Net: Unknown Pin: Pin IC1-2
Add Pin To Net: Unknown Pin: Pin IC1-6
Add Pin To Net: Unknown Pin: Pin IC1-7
Added Pin To Net: NetName=NetD1_1 Pin=P1-1
Added Pin To Net: NetName=NetD1_1 Pin=P1-2
Added Pin To Net: NetName=NetD1_1 Pin=P1-3
Added Pin To Net: NetName=NetD1_1 Pin=P1-4
Added Pin To Net: NetName=NetD1_1 Pin=P1-5
Added Pin To Net: NetName=NetD1_1 Pin=P1-6
Added Pin To Net: NetName=NetD1_1 Pin=P2-6
Added Pin To Net: NetName=NetIC1_2 Pin=R3-2
Added Pin To Net: NetName=NetD1_2 Pin=R4-1
Added Pin To Net: NetName=NetD1_1 Pin=R4-2
Added Pin To Net: NetName=NetD1_1 Pin=R6-1
Added Pin To Net: NetName=DC- Pin=JUB1-2
Added Net: Name=DC-
Added Pin To Net: NetName=DSP_GND1 Pin=P1-7
Added Pin To Net: NetName=DSP_GND1 Pin=Signal1-2
Added Net: Name=DSP_GND1
Added Pin To Net: NetName=NetPower1_1 Pin=Power1-1
Added Pin To Net: NetName=NetPower1_1 Pin=R2-2
Added Net: Name=NetPower1_1
Added Pin To Net: NetName=NetR3_1 Pin=R3-1
Added Pin To Net: NetName=NetR3_1 Pin=R5-1
Added Net: Name=NetR3_1
Added Pin To Net: NetName=NetR5_2 Pin=R5-2
Added Pin To Net: NetName=NetR5_2 Pin=Signal1-1
Added Net: Name=NetR5_2
Added Pin To Net: NetName=U_G Pin=C1-1
Added Pin To Net: NetName=U_G Pin=C2-2
Added Pin To Net: NetName=U_G Pin=C4-2
Added Pin To Net: NetName=U_G Pin=C5-2
Added Pin To Net: NetName=U_G Pin=D3-2
Added Pin To Net: NetName=U_G Pin=D4-1
Added Pin To Net: NetName=U_G Pin=JUT1-2
Added Pin To Net: NetName=U_G Pin=Power1-2
Added Pin To Net: NetName=U_G Pin=R1-2
Added Pin To Net: NetName=U_G Pin=R6-2
Added Net: Name=U_G
Added Pin To Net: NetName=VCC_U_B Pin=JUB1-1
Added Net: Name=VCC_U_B
Added Pin To Net: NetName=VCC_U_T Pin=C1-2
Added Pin To Net: NetName=VCC_U_T Pin=C2-1
Added Pin To Net: NetName=VCC_U_T Pin=C3-1
Added Pin To Net: NetName=VCC_U_T Pin=JUT1-1
Added Pin To Net: NetName=VCC_U_T Pin=R1-1
Added Pin To Net: NetName=VCC_U_T Pin=R2-1
Added Net: Name=VCC_U_T
Added Pin To Net: NetName=VEE_U_B Pin=JUB1-3
Added Net: Name=VEE_U_B
Added Pin To Net: NetName=VEE_U_T Pin=C3-2
Added Pin To Net: NetName=VEE_U_T Pin=C4-1
Added Pin To Net: NetName=VEE_U_T Pin=C5-1
Added Pin To Net: NetName=VEE_U_T Pin=D3-1
Added Pin To Net: NetName=VEE_U_T Pin=JUT1-3
Added Net: Name=VEE_U_T
